wordpair,wordpair_id,Level
ankle-travel,ankle-travel,medium
travel-ankle,ankle-travel,medium
army-drum,army-drum,medium
drum-army,army-drum,medium
ash-snake,ash-snake,hard
snake-ash,ash-snake,hard
bet-dream,bet-dream,medium
dream-bet,bet-dream,medium
birth-hand,birth-hand,medium
hand-birth,birth-hand,medium
bone-garage,bone-garage,hard
garage-bone,bone-garage,hard
boot-crust,boot-crust,hard
crust-boot,boot-crust,hard
bowl-sun,bowl-sun,medium
sun-bowl,bowl-sun,medium
cage-glass,cage-glass,medium
glass-cage,cage-glass,medium
candle-wick,candle-wick,easy
wick-candle,candle-wick,easy
cave-knight,cave-knight,hard
knight-cave,cave-knight,hard
chair-table,chair-table,easy
table-chair,chair-table,easy
chapel-feet,chapel-feet,medium
feet-chapel,chapel-feet,medium
east-short,east-short,hard
short-east,east-short,hard
elm-rock,elm-rock,medium
rock-elm,elm-rock,medium
giant-subtle,giant-subtle,hard
subtle-giant,giant-subtle,hard
gold-silver,gold-silver,easy
silver-gold,gold-silver,easy
gums-teeth,gums-teeth,easy
teeth-gums,gums-teeth,easy
happy-sad,happy-sad,easy
sad-happy,happy-sad,easy
holy-kind,holy-kind,medium
kind-holy,holy-kind,medium
jump-leap,jump-leap,easy
leap-jump,jump-leap,easy
lion-tiger,lion-tiger,easy
tiger-lion,lion-tiger,easy
new-old,new-old,easy
old-new,new-old,easy
oak-tree,oak-tree,easy
tree-oak,oak-tree,easy
olive-real,olive-real,hard
real-olive,olive-real,hard
glow-quick,quick-glow,medium
quick-glow,quick-glow,medium
regret-rude,regret-rude,hard
rude-regret,regret-rude,hard
sit-stand,sit-stand,easy
stand-sit,sit-stand,easy
stern-wind,stern-wind,hard
wind-stern,stern-wind,hard
trauma-weird,trauma-weird,medium
weird-trauma,trauma-weird,medium